built_type,year_built,flour,area,condition,bathrooms,balcony,exchange,furniture,security,ceil,parking,residance,phone,floor,door,balcony_glass,ex_dormetory,inernet,id,userType,rooms,lat,lon,district,street,house_num,price
монолитный,2009,23 из 23,112,,2 с/у и более,лоджия,,частично,"охрана, домофон, видеонаблюдение",2.7 м,рядом охраняемая стоянка,Симфония,,,,,нет,,679825062,owner,3,51.15883625419,71.409437657057,Saryarka_r-n,Saryarka,1a,46500000
кирпичный,2021,9 из 10,57,черновая отделка,раздельный,лоджия,Не интересует,,"домофон, видеонаблюдение, видеодомофон",3 м,паркинг,Arai Apartments,,,металлическая,да,нет,,679305765,specialist,2,51.16193131907,71.403593491025,Saryarka_r-n,Kenesary,str__6,26000000
монолитный,2014,4 из 14,74,хорошее,раздельный,несколько балконов или лоджий,,,"домофон, видеонаблюдение",2.8 м,,Жилой дом по ул. Айнакол,отдельный,ламинат,металлическая,да,нет,через TV кабель,677286262,specialist,3,51.131813,71.499644,Almaty_r-n,Aynakol,58/1,36000000
кирпичный,2011,10 из 15,106,,,,,,,,паркинг,Улытау,,,,,нет,,681908933,specialist,3,51.167433533235,71.428601367296,r-n_Baykonur,Otyrar,,41500000
кирпичный,2008,9 из 10,74,хорошее,,,,,,2.7 м,,Степной-2,,,,,нет,,681674803,specialist,3,51.156177852199,71.506071569622,Almaty_r-n,Kudayberdyuly,29/1,27800000
монолитный,2013,10 из 10,108,хорошее,,,,полностью,домофон,3 м,паркинг,Ак Шанырак,,,,,нет,,681559985,specialist,3,51.1331924325,71.460482939874,Almaty_r-n,Momyshuly,,45500000
монолитный,2017,9 из 9,59,хорошее,раздельный,лоджия,Не интересует,,видеонаблюдение,2.7 м,паркинг,Елорда Даму по Улы Дала,нет,ламинат,бронированная,да,нет,через TV кабель,681810143,owner,1,51.094995311071,71.434625420833,Esilyskiy_r-n,Uly_Dala,19,23500000
монолитный,2016,1 из 12,58,хорошее,совмещенный,балкон,Не интересует,,"охрана, домофон, видеонаблюдение",2.7 м,паркинг,Медина,,ламинат,металлическая,да,нет,проводной,674948430,owner,2,51.188983,71.382549,,Akan_sery,16,20000000
,2003,,63,хорошее,совмещенный,несколько балконов или лоджий,,полностью,"домофон, видеонаблюдение",,рядом охраняемая стоянка,,есть возможность подключения,ламинат,металлическая,,нет,оптика,671892792,specialist,2,51.167639,71.462625,r-n_Baykonur,prospekt_Abaya,95/2,25400000
монолитный,2022,5 из 17,42.3,хорошее,совмещенный,лоджия,,полностью,,3 м,,Altyn Dala,есть возможность подключения,ламинат,металлическая,да,нет,оптика,681310098,specialist,2,51.139237277845,71.3782584793,Esilyskiy_r-n,Kayym_Muhamedhanov,,23800000
монолитный,2019,2 из 12,73,хорошее,2 с/у и более,балкон,Не интересует,,,2.7 м,,,,ламинат,бронированная,да,нет,ADSL,678734555,owner,3,51.116731,71.388918,Esilyskiy_r-n,Қazybek_bi,11/1,48000000
кирпичный,2022,9 из 9,36,хорошее,совмещенный,лоджия,Не интересует,,"видеонаблюдение, кодовый замок, видеодомофон, охрана, сигнализация",3 м,паркинг,Кок жайлау,,ламинат,бронированная,да,нет,ADSL,681457318,owner,1,51.118230199417,71.389755380317,Esilyskiy_r-n,Kazybek_Bi,9/1,22500000
